cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
34,26,14,2289450.0,100000005523088100 100000005382566100 100000001471706100 100000004403675100 100000008516839100,"26 nodes around 14 known client(s), 2,289,450 KZT moving inside the group: 7 where funds appear to stop. Worth checking whether the collection points here serve the same group."
20,125,7,18300397.28,100000002173161100 100000000706545100 100000008144528100 100000001567366100 100000004394765100,"125 nodes around 7 known client(s), 18,300,397 KZT moving inside the group: 6 passing funds straight through, 1 distributing to many receivers, 69 where funds appear to stop. Worth checking whether the collection points here serve the same group."
24,148,5,19555090.0,100000003684369100 100000001072022100 100000008165763100 100000007908818100 100000001527186100,"148 nodes around 5 known client(s), 19,555,090 KZT moving inside the group: 4 passing funds straight through, 2 distributing to many receivers, 97 where funds appear to stop. Worth checking whether the collection points here serve the same group."
29,106,4,16242879.02,100000002958343100 100000002894076100 100000002872399100 100000004015047100 100000001411870100,"106 nodes around 4 known client(s), 16,242,879 KZT moving inside the group: 1 node(s) showing signs of consolidation, 5 passing funds straight through, 1 distributing to many receivers, 63 where funds appear to stop. Worth checking whether the collection points here serve the same group."
66,56,3,13397542.0,100000001732159100 100000002547110100 100000002884708100 100000002671326100 100000003404627100,"56 nodes around 3 known client(s), 13,397,542 KZT moving inside the group: 3 passing funds straight through, 23 where funds appear to stop. Worth checking whether the collection points here serve the same group."
53,41,3,4888834.28,100000008418835100 100000003221384100 100000004156082100 100000000795129100 100000002956898100,"41 nodes around 3 known client(s), 4,888,834 KZT moving inside the group: 3 passing funds straight through, 1 distributing to many receivers, 25 where funds appear to stop. Worth checking whether the collection points here serve the same group."
55,50,3,4135421.0,100000003718715100 100000005074393100 100000006424479100 100000000375150100 100000008346837100,"50 nodes around 3 known client(s), 4,135,421 KZT moving inside the group: 2 passing funds straight through, 1 distributing to many receivers, 16 where funds appear to stop. Worth checking whether the collection points here serve the same group."
15,5,2,108007.0,100000006562026100 100000007347733100 100000008129393100 100000006249740100 100000006831291100,"5 nodes around 2 known client(s), 108,007 KZT moving inside the group: 3 where funds appear to stop. Worth checking whether the collection points here serve the same group."
47,277,1,31856346.24,100000007055802100 100000008686313100 100000004299488100 100000002603769100 100000000437046100,"277 nodes around 1 known client(s), 31,856,346 KZT moving inside the group: 2 node(s) showing signs of consolidation, 12 passing funds straight through, 5 distributing to many receivers, 118 where funds appear to stop. Worth checking whether the collection points here serve the same group."
80,104,1,21747439.59,100000002718366100 100000002126791100 100000002793881100 100000002849158100 100000001875239100,"104 nodes around 1 known client(s), 21,747,440 KZT moving inside the group: 1 passing funds straight through, 3 distributing to many receivers, 47 where funds appear to stop. Worth checking whether the collection points here serve the same group."
67,17,1,21586840.0,100000004892144100 100000002224132100 100000004603109100 100000000594783100 100000000552584100,"17 nodes around 1 known client(s), 21,586,840 KZT moving inside the group: 5 where funds appear to stop. Worth checking whether the collection points here serve the same group."
46,270,1,10178044.0,100000002578405100 100000001166289100 100000005342513100 100000002214383100 100000006612238100,"270 nodes around 1 known client(s), 10,178,044 KZT moving inside the group: 3 passing funds straight through, 3 distributing to many receivers, 250 where funds appear to stop. Worth checking whether the collection points here serve the same group."
33,59,1,6772097.0,100000003115284100 100000001463701100 100000002957306100 100000003989033100 100000003360542100,"59 nodes around 1 known client(s), 6,772,097 KZT moving inside the group: 1 node(s) showing signs of consolidation, 3 passing funds straight through, 1 distributing to many receivers, 31 where funds appear to stop. Worth checking whether the collection points here serve the same group."
57,30,1,6513430.0,100000006274203100 100000001690558100 100000002799941100 100000007594394100 100000008676812100,"30 nodes around 1 known client(s), 6,513,430 KZT moving inside the group: 2 passing funds straight through, 13 where funds appear to stop. Worth checking whether the collection points here serve the same group."
43,55,1,3064863.0,100000001899164100 100000004692798100 100000004798515100 100000003265158100 100000004800648100,"55 nodes around 1 known client(s), 3,064,863 KZT moving inside the group: 3 passing funds straight through, 26 where funds appear to stop. Worth checking whether the collection points here serve the same group."
41,17,1,2977887.0,100000004007116100 100000002731501100 100000003275398100 100000003031890100 100000002886166100,"17 nodes around 1 known client(s), 2,977,887 KZT moving inside the group: 7 where funds appear to stop. Worth checking whether the collection points here serve the same group."
38,5,1,2809200.0,100000004135268100 100000004979498100 100000007507343100 100000008571433100 100000002738256100,"5 nodes around 1 known client(s), 2,809,200 KZT moving inside the group: 2 passing funds straight through, 1 where funds appear to stop. Worth checking whether the collection points here serve the same group."
21,6,1,1615030.0,100000005456919100 100000008736940100 100000008751429100 100000008193577100 100000008659445100,"6 nodes around 1 known client(s), 1,615,030 KZT moving inside the group: 1 where funds appear to stop. Worth checking whether the collection points here serve the same group."
1,6,1,1527967.0,100000007939160100 100000005183943100 100000000580561100 100000003888271100 100000000955444100,"6 nodes around 1 known client(s), 1,527,967 KZT moving inside the group: 3 where funds appear to stop. Worth checking whether the collection points here serve the same group."
19,4,1,1404980.0,100000001872484100 100000008601794100 100000002459163100 100000000785800100,"4 nodes around 1 known client(s), 1,404,980 KZT moving inside the group: 1 passing funds straight through, 1 where funds appear to stop. Worth checking whether the collection points here serve the same group."
25,13,1,1392916.0,100000003164661100 100000006232815100 100000005077484100 100000001380054100 100000000703894100,"13 nodes around 1 known client(s), 1,392,916 KZT moving inside the group: 6 where funds appear to stop. Worth checking whether the collection points here serve the same group."
30,3,1,450816.0,100000005034574100 100000007283257100 100000004388983100,"3 nodes around 1 known client(s), 450,816 KZT moving inside the group: 2 where funds appear to stop. Worth checking whether the collection points here serve the same group."
28,3,1,450000.0,100000000769919100 100000002371751100 100000007018630100,"3 nodes around 1 known client(s), 450,000 KZT moving inside the group: 1 where funds appear to stop. Worth checking whether the collection points here serve the same group."
26,3,1,390167.62,100000002796853100 100000002781227100 100000008522127100,"3 nodes around 1 known client(s), 390,168 KZT moving inside the group: 1 passing funds straight through. Worth checking whether the collection points here serve the same group."
56,6,1,383300.0,100000004331458100 100000005546031100 100000004094958100 100000005363908100 100000005547096100,"6 nodes around 1 known client(s), 383,300 KZT moving inside the group: 2 passing funds straight through, 1 where funds appear to stop. Worth checking whether the collection points here serve the same group."
37,6,1,275885.0,100000005895525100 100000002462183100 100000007175718100 100000005056870100 100000005807278100,"6 nodes around 1 known client(s), 275,885 KZT moving inside the group: 5 where funds appear to stop. Worth checking whether the collection points here serve the same group."
27,2,1,81465.0,100000003865939100 100000005392290100,Too small to characterise; check whether it belongs to a larger structure.
51,4,1,79050.0,100000001852140100 100000004971871100 100000006888238100 100000003148220100,"4 nodes around 1 known client(s), 79,050 KZT moving inside the group: 1 where funds appear to stop. Worth checking whether the collection points here serve the same group."
40,2,1,30000.0,100000003980083100 100000003200071100,Too small to characterise; check whether it belongs to a larger structure.
0,1,1,0.0,100000000456947100,Too small to characterise; check whether it belongs to a larger structure.
2,1,1,0.0,100000003265658100,Too small to characterise; check whether it belongs to a larger structure.
3,1,1,0.0,100000003349739100,Too small to characterise; check whether it belongs to a larger structure.
4,1,1,0.0,100000003770083100,Too small to characterise; check whether it belongs to a larger structure.
5,1,1,0.0,100000004021459100,Too small to characterise; check whether it belongs to a larger structure.
6,1,1,0.0,100000004174835100,Too small to characterise; check whether it belongs to a larger structure.
7,1,1,0.0,100000005017150100,Too small to characterise; check whether it belongs to a larger structure.
8,1,1,0.0,100000005087431100,Too small to characterise; check whether it belongs to a larger structure.
9,1,1,0.0,100000005235389100,Too small to characterise; check whether it belongs to a larger structure.
10,1,1,0.0,100000005480435100,Too small to characterise; check whether it belongs to a larger structure.
11,1,1,0.0,100000005495722100,Too small to characterise; check whether it belongs to a larger structure.
12,1,1,0.0,100000005550592100,Too small to characterise; check whether it belongs to a larger structure.
13,1,1,0.0,100000005560900100,Too small to characterise; check whether it belongs to a larger structure.
14,1,1,0.0,100000005568407100,Too small to characterise; check whether it belongs to a larger structure.
16,1,1,0.0,100000008117324100,Too small to characterise; check whether it belongs to a larger structure.
17,1,1,0.0,100000008205000100,Too small to characterise; check whether it belongs to a larger structure.
18,1,1,0.0,100000008513251100,Too small to characterise; check whether it belongs to a larger structure.
22,1,1,0.0,100000008669037100,Too small to characterise; check whether it belongs to a larger structure.
23,1,1,0.0,100000008701222100,Too small to characterise; check whether it belongs to a larger structure.
90,126,0,24907250.33,100000001330685100 100000006889963100 100000003220685100 100000001875167100 100000000331309100,No known client in this group of 126; reached only indirectly. Check how it connects to the case before spending time on it.
82,126,0,16339904.0,100000008603629100 100000001857829100 100000002459832100 100000002936322100 100000002531406100,No known client in this group of 126; reached only indirectly. Check how it connects to the case before spending time on it.
54,51,0,13990812.0,100000001282143100 100000002956769100 100000002753146100 100000002722108100 100000002748761100,No known client in this group of 51; reached only indirectly. Check how it connects to the case before spending time on it.
45,44,0,10215968.84,100000002605308100 100000008517061100 100000005933757100 100000001073568100 100000001904863100,No known client in this group of 44; reached only indirectly. Check how it connects to the case before spending time on it.
59,30,0,8045494.0,100000001887715100 100000001303311100 100000007229557100 100000002622822100 100000001714173100,No known client in this group of 30; reached only indirectly. Check how it connects to the case before spending time on it.
62,13,0,6748650.0,100000008258083100 100000000673868100 100000007442518100 100000000821507100 100000002911170100,No known client in this group of 13; reached only indirectly. Check how it connects to the case before spending time on it.
36,41,0,5151924.19,100000003964910100 100000006225798100 100000002713074100 100000003242289100 100000008221543100,No known client in this group of 41; reached only indirectly. Check how it connects to the case before spending time on it.
49,61,0,4350466.67,100000005473151100 100000001169666100 100000001927599100 100000008136608100 100000008714412100,No known client in this group of 61; reached only indirectly. Check how it connects to the case before spending time on it.
60,11,0,3784703.0,100000005042822100 100000000733940100 100000003557488100 100000002975437100 100000002710570100,No known client in this group of 11; reached only indirectly. Check how it connects to the case before spending time on it.
76,15,0,3626010.0,100000000791285100 100000008461532100 100000006704530100 100000003122817100 100000003470579100,No known client in this group of 15; reached only indirectly. Check how it connects to the case before spending time on it.
31,15,0,3436955.0,100000004221668100 100000005171642100 100000003111305100 100000002459093100 100000001985793100,No known client in this group of 15; reached only indirectly. Check how it connects to the case before spending time on it.
44,18,0,3422800.0,100000003701161100 100000002267998100 100000003104347100 100000003718221100 100000001822623100,No known client in this group of 18; reached only indirectly. Check how it connects to the case before spending time on it.
85,7,0,3077000.0,100000001053894100 100000002594214100 100000002241986100 100000004047887100 100000001286703100,No known client in this group of 7; reached only indirectly. Check how it connects to the case before spending time on it.
75,6,0,2540000.0,100000004479404100 100000002922000100 100000004717647100 100000002659103100 100000001533161100,No known client in this group of 6; reached only indirectly. Check how it connects to the case before spending time on it.
86,6,0,2534500.0,100000005075949100 100000003747133100 100000004722765100 100000006527156100 100000002578653100,No known client in this group of 6; reached only indirectly. Check how it connects to the case before spending time on it.
84,8,0,2473417.91,100000008175078100 100000008675322100 100000000557536100 100000004906181100 100000008349740100,No known client in this group of 8; reached only indirectly. Check how it connects to the case before spending time on it.
70,7,0,1765600.0,100000007865484100 100000008551752100 100000003631015100 100000004976946100 100000005745873100,No known client in this group of 7; reached only indirectly. Check how it connects to the case before spending time on it.
87,10,0,1727065.0,100000005767403100 100000004017410100 100000005519998100 100000004076740100 100000004336312100,No known client in this group of 10; reached only indirectly. Check how it connects to the case before spending time on it.
50,14,0,1605604.0,100000000838385100 100000002860934100 100000004407753100 100000007382543100 100000008213966100,No known client in this group of 14; reached only indirectly. Check how it connects to the case before spending time on it.
72,4,0,1595700.0,100000001131403100 100000001052945100 100000004616845100 100000005146665100,No known client in this group of 4; reached only indirectly. Check how it connects to the case before spending time on it.
58,3,0,1557988.0,100000004035925100 100000008619159100 100000008258458100,No known client in this group of 3; reached only indirectly. Check how it connects to the case before spending time on it.
88,9,0,1406982.0,100000001445848100 100000002217161100 100000007647294100 100000002242066100 100000000954884100,No known client in this group of 9; reached only indirectly. Check how it connects to the case before spending time on it.
68,7,0,1268308.0,100000006232642100 100000008011159100 100000003664994100 100000006169033100 100000005754335100,No known client in this group of 7; reached only indirectly. Check how it connects to the case before spending time on it.
48,5,0,1189154.0,100000000291906100 100000004722630100 100000000291908100 100000004670388100 100000004691350100,No known client in this group of 5; reached only indirectly. Check how it connects to the case before spending time on it.
71,2,0,857500.0,100000008324800100 100000007390016100,Too small to characterise; check whether it belongs to a larger structure.
64,15,0,850450.0,100000002472632100 100000001526235100 100000007811950100 100000005505655100 100000002708624100,No known client in this group of 15; reached only indirectly. Check how it connects to the case before spending time on it.
77,4,0,832800.0,100000001065234100 100000002194320100 100000008625905100 100000003159641100,No known client in this group of 4; reached only indirectly. Check how it connects to the case before spending time on it.
89,2,0,761255.0,100000004586598100 100000000583220100,Too small to characterise; check whether it belongs to a larger structure.
61,6,0,720900.0,100000006638021100 100000008333492100 100000002794374100 100000008761219100 100000007472293100,No known client in this group of 6; reached only indirectly. Check how it connects to the case before spending time on it.
42,3,0,627870.0,100000004666651100 100000005664632100 100000008628231100,No known client in this group of 3; reached only indirectly. Check how it connects to the case before spending time on it.
78,20,0,617900.0,100000006308406100 100000006257675100 100000003154105100 100000004777215100 100000002478829100,No known client in this group of 20; reached only indirectly. Check how it connects to the case before spending time on it.
39,10,0,603900.0,100000003635170100 100000004209339100 100000003321423100 100000002156381100 100000002696152100,No known client in this group of 10; reached only indirectly. Check how it connects to the case before spending time on it.
73,2,0,584900.0,100000007330432100 100000008430691100,Too small to characterise; check whether it belongs to a larger structure.
65,3,0,553830.0,100000003692843100 100000002371892100 100000003321895100,No known client in this group of 3; reached only indirectly. Check how it connects to the case before spending time on it.
35,4,0,518000.0,100000003163886100 100000000629812100 100000002205022100 100000001380107100,No known client in this group of 4; reached only indirectly. Check how it connects to the case before spending time on it.
32,4,0,460000.0,100000006069103100 100000000201868100 100000003192220100 100000006787636100,No known client in this group of 4; reached only indirectly. Check how it connects to the case before spending time on it.
52,29,0,446070.0,100000004891562100 100000002706810100 100000008715513100 100000002670463100 100000001991973100,No known client in this group of 29; reached only indirectly. Check how it connects to the case before spending time on it.
83,8,0,389000.0,100000002214207100 100000000600707100 100000004066370100 100000005507142100 100000001825934100,No known client in this group of 8; reached only indirectly. Check how it connects to the case before spending time on it.
69,5,0,338950.0,100000008190411100 100000003133045100 100000004747154100 100000001498732100 100000004715209100,No known client in this group of 5; reached only indirectly. Check how it connects to the case before spending time on it.
74,4,0,332709.0,100000004610802100 100000002516862100 100000004780083100 100000002513028100,No known client in this group of 4; reached only indirectly. Check how it connects to the case before spending time on it.
81,10,0,322010.0,100000000993112100 100000008172352100 100000002691858100 100000002628146100 100000007322059100,No known client in this group of 10; reached only indirectly. Check how it connects to the case before spending time on it.
