formation_id,gid,role_in_formation,member_evidence
BRG-001,100000000011452100,detached,"peripheral, depth=1, seed=False; inside this formation receives 75,000 KZT and sends 0 KZT (0% of its 16,685 KZT outflow)"
BRG-001,100000000533217100,detached,"terminal, depth=2, seed=False; inside this formation receives 53,587 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000000945428100,detached,"terminal, depth=1, seed=False; inside this formation receives 89,629 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000001241318100,detached,"terminal, depth=2, seed=False; inside this formation receives 53,000 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000001382002100,detached,"transit, depth=2, seed=False; inside this formation receives 55,000 KZT and sends 56,500 KZT (100% of its 56,500 KZT outflow)"
BRG-001,100000001524952100,detached,"terminal, depth=1, seed=False; inside this formation receives 103,807 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000001550388100,detached,"terminal, depth=1, seed=False; inside this formation receives 50,000 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000002182176100,detached,"terminal, depth=1, seed=False; inside this formation receives 42,465 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000002214301100,detached,"abstained_single_observation, depth=1, seed=False; inside this formation receives 21,438 KZT and sends 0 KZT (0% of its 8,000 KZT outflow)"
BRG-001,100000002293421100,detached,"transit, depth=2, seed=False; inside this formation receives 41,000 KZT and sends 47,000 KZT (100% of its 47,000 KZT outflow)"
BRG-001,100000002511825100,detached,"terminal, depth=1, seed=False; inside this formation receives 65,000 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000002597003100,detached,"abstained_single_observation, depth=1, seed=False; inside this formation receives 17,700 KZT and sends 11,000 KZT (100% of its 11,000 KZT outflow)"
BRG-001,100000002606567100,detached,"abstained_single_observation, depth=1, seed=False; inside this formation receives 14,095 KZT and sends 53,000 KZT (100% of its 53,000 KZT outflow)"
BRG-001,100000002721825100,detached,"terminal, depth=2, seed=False; inside this formation receives 11,000 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000002750956100,detached,"terminal, depth=1, seed=False; inside this formation receives 47,416 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000002809568100,detached,"terminal, depth=1, seed=False; inside this formation receives 10,000 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000002845605100,detached,"terminal, depth=1, seed=False; inside this formation receives 57,567 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000003102157100,detached,"terminal, depth=1, seed=False; inside this formation receives 96,746 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000003449074100,detached,"terminal, depth=1, seed=False; inside this formation receives 10,000 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
BRG-001,100000004180097100,detached,"peripheral, depth=1, seed=False; inside this formation receives 104,854 KZT and sends 41,000 KZT (86% of its 47,800 KZT outflow)"
BRG-001,100000004664515100,detached,"terminal, depth=1, seed=False; inside this formation receives 37,691 KZT and sends 0 KZT (0% of its 0 KZT outflow)"
