gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,authority_score,hub_score,pass_through,dwell_days,depth,is_seed,truncated_by_depth,genuine_terminal,component_id
100000000343175100,distributor,0.7,33,0.0869,"out_deg=31 receivers, out=4,000,039 KZT over 33 transfers",8,31,178712.0,4000039.0,14,33,0.0007132581979384031,0.0002893306725282859,0.006589397755091382,22.382598818210305,0.0,0,True,False,False,0
100000000456947100,peripheral,0.1,0,0.0,"no transfer observed in either direction in the window, so nothing about this account's behaviour is measurable here; depth=0, already known to the investigation",0,0,0.0,0.0,0,0,0.0002855692942172902,0.0,0.0,,,0,True,False,True,16
100000000580561100,peripheral,0.4,1,0.0114,"no rule threshold met: in_deg=2, out_deg=3, in=27,980, out=1,488,077 KZT",2,3,27980.0,1488077.0,3,13,0.0008349888856684632,-2.1040642247677897e-18,-1.98808325405983e-18,53.183595425303785,-8.0,0,True,False,False,4
100000001415126100,terminal,0.8,34,0.004,"depth=0 < 4 and no outgoing: money arrives and stays; in=27,000 KZT over 1 transfers from 1 payer",1,0,27000.0,0.0,1,0,0.0004096189054308039,2.8874364319155937e-07,0.0,0.0,,0,True,False,True,0
100000001429930100,terminal,0.8,55,0.0032,"depth=0 < 4 and no outgoing: money arrives and stays; in=26,000 KZT over 1 transfers from 1 payer",1,0,26000.0,0.0,1,0,0.000350797891474077,4.2599461439362225e-08,0.0,0.0,,0,True,False,True,0
100000001616816100,transit,0.7,29,0.1351,"pass_through=1.03: in=176,195, out=181,326 KZT, dwell=1d",5,3,176195.0,181326.0,12,10,0.0024346571906844502,4.7490014961182567e-07,2.187037232152238e-05,1.0291211441868384,1.0,0,True,False,False,0
100000001732159100,peripheral,0.4,66,0.054,"no rule threshold met: in_deg=2, out_deg=4, in=2,378,100, out=1,505,966 KZT",2,4,2378100.0,1505966.0,30,23,0.001095056787299681,7.699492624894568e-07,5.340185807580643e-05,0.633264370716118,0.0,0,True,False,False,0
100000002527114100,distributor,0.7,46,0.0489,"out_deg=111 receivers, out=3,289,249 KZT over 113 transfers",3,111,129000.0,3289249.0,4,113,0.0008111056953132608,-4.129245874040611e-18,-3.7209876052736717e-16,25.49805426356589,-3.0,0,True,False,False,1
100000002916006100,peripheral,0.5,34,0.0,"seed, outbound only: out_deg=1, out=32,000 KZT; inflow not observable by collection design",0,1,0.0,32000.0,0,1,0.0002855692942172902,0.0,-8.78216372081626e-19,,,0,True,False,False,0
100000003016635100,distributor,0.7,20,0.1225,"out_deg=73 receivers, out=9,414,081 KZT over 151 transfers",8,73,586981.0,9414081.0,36,151,0.001189636334387764,1.249079105106922e-05,0.015842594967054868,16.038135817002594,-1.0,0,True,False,False,0
100000003200071100,peripheral,0.5,40,0.0,"seed, outbound only: out_deg=1, out=30,000 KZT; inflow not observable by collection design",0,1,0.0,30000.0,0,1,0.0002855692942172902,0.0,-2.347623865126829e-19,,,0,True,False,False,14
100000003265658100,peripheral,0.1,2,0.0,"no transfer observed in either direction in the window, so nothing about this account's behaviour is measurable here; depth=0, already known to the investigation",0,0,0.0,0.0,0,0,0.0002855692942172902,0.0,0.0,,,0,True,False,True,17
100000003349739100,peripheral,0.1,3,0.0,"no transfer observed in either direction in the window, so nothing about this account's behaviour is measurable here; depth=0, already known to the investigation",0,0,0.0,0.0,0,0,0.0002855692942172902,0.0,0.0,,,0,True,False,True,18
100000003684369100,distributor,0.7,24,0.4782,"out_deg=62 receivers, out=8,588,655 KZT over 67 transfers",24,62,3848436.0,8588655.0,58,67,0.002020291208486861,0.0013537174513606589,0.024746163659923794,2.2317260830113845,3.0,0,True,False,False,0
100000003770083100,peripheral,0.1,4,0.0,"no transfer observed in either direction in the window, so nothing about this account's behaviour is measurable here; depth=0, already known to the investigation",0,0,0.0,0.0,0,0,0.0002855692942172902,0.0,0.0,,,0,True,False,True,19
100000003975102100,peripheral,0.4,20,0.0031,"no rule threshold met: in_deg=1, out_deg=2, in=25,650, out=88,500 KZT",1,2,25650.0,88500.0,1,2,0.00034546521801697994,-2.4880253431252885e-18,4.642704712324828e-07,3.4502923976608186,-15.0,0,True,False,False,0
100000003977183100,peripheral,0.4,29,0.0068,"no rule threshold met: in_deg=2, out_deg=4, in=123,800, out=766,000 KZT",2,4,123800.0,766000.0,2,6,0.0003314603816994432,4.200664191209409e-05,4.95192590025565e-05,6.187399030694669,-6.0,0,True,False,False,0
100000004007116100,peripheral,0.4,41,0.0229,"no rule threshold met: in_deg=3, out_deg=4, in=764,704, out=148,000 KZT",3,4,764704.0,148000.0,24,6,0.0006277769573248414,-7.83307872280065e-18,-1.2059774164096684e-17,0.19353893794200108,9.0,0,True,False,False,2
100000004019124100,terminal,0.8,20,0.0209,"depth=0 < 4 and no outgoing: money arrives and stays; in=193,000 KZT over 3 transfers from 3 payers",3,0,193000.0,0.0,3,0,0.0012028680902033675,2.667322885135075e-08,0.0,0.0,,0,True,False,True,0
100000004021459100,peripheral,0.1,5,0.0,"no transfer observed in either direction in the window, so nothing about this account's behaviour is measurable here; depth=0, already known to the investigation",0,0,0.0,0.0,0,0,0.0002855692942172902,0.0,0.0,,,0,True,False,True,20
100000004041163100,peripheral,0.4,34,0.0263,"no rule threshold met: in_deg=1, out_deg=2, in=50,000, out=866,000 KZT",1,2,50000.0,866000.0,1,6,0.0020847480556725156,-5.515702773971273e-19,4.6424055325529803e-07,17.32,-14.0,0,True,False,False,0
100000004174835100,peripheral,0.1,6,0.0,"no transfer observed in either direction in the window, so nothing about this account's behaviour is measurable here; depth=0, already known to the investigation",0,0,0.0,0.0,0,0,0.0002855692942172902,0.0,0.0,,,0,True,False,True,21
100000004193835100,abstained_single_observation,0.0,20,0.0051,"abstained on a single observation: in_tx=1, out_tx=1, fewer than 3 transfers is not a stable ratio",1,1,47000.0,5000.0,1,1,0.000469930139695584,6.973423449957878e-11,4.6055822935878857e-07,0.10638297872340426,0.0,0,True,False,False,0
100000004269433100,peripheral,0.5,53,0.0,"seed, outbound only: out_deg=1, out=1,372,000 KZT; inflow not observable by collection design",0,1,0.0,1372000.0,0,67,0.0002855692942172902,0.0,-2.347623865126829e-19,,,0,True,False,False,0
100000004358004100,peripheral,0.5,24,0.0,"seed, outbound only: out_deg=11, out=980,850 KZT; inflow not observable by collection design",0,11,0.0,980850.0,0,17,0.0002855692942172902,0.0,0.003638172734635448,,,0,True,False,False,0
100000004388983100,peripheral,0.5,30,0.0,"seed, outbound only: out_deg=2, out=450,816 KZT; inflow not observable by collection design",0,2,0.0,450816.0,0,23,0.0002855692942172902,0.0,-9.009757596449287e-19,,,0,True,False,False,12
100000004714705100,peripheral,0.5,34,0.0,"seed, outbound only: out_deg=1, out=36,550 KZT; inflow not observable by collection design",0,1,0.0,36550.0,0,1,0.0002855692942172902,0.0,-2.347623865126829e-19,,,0,True,False,False,0
